Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
gasFail,30,,Hala! Mukhang mauubusan na ng gas ang motor mo. Magpa-gas ka muna.,,Oh no! Looks like you’re about to run out of gas. Refuel first.,
engineDefault,31,E,I-check mo kung umaandar nang maayos ang iyong makina at walang itong kakaibang tunog.,,Check if your engine runs smoothly and if there are no unusual sounds when started.,
enginePass,32,,Ayos! Mukhang gumagana nang maayos ang makina mo.,,Nice! Your engine seems to be running smoothly.,
engineFail,33,,Hala! Mukhang may mali sa makina mo. Siguraduhing mapaayos muna ito. ,,Oh no! Something might be wrong with your engine. Make sure to have them fixed first.,
tiresFrontDefault,34,T,I-check mo ang kondisyon ng front tires mo kung pudpod na o mayroon nang hindi pantay na parte., ,Check the front tire’s condition if it is worn out or uneven.,
tiresFrontPass,35,,Ayos! Maganda pa ang itsura ng front tire mo.,,Nice! The front tire still looks good.,
tiresFrontFail,36,,Hala! Mukhang deformed o pudpod na ang front tire mo. Ipapalit mo na ito.,,Oh no! Your front tire looks worn out or deformed. Have it replaced.,
tiresBackDefault,37,,I-check mo ang kondisyon ng rear tires mo kung pudpod na o mayroon nang hindi pantay na parte.,,Check the rear tire’s condition if it is worn out or uneven.,
tiresBackPass,38,,Ayos! Maganda pa ang itsura ng rear tire mo.,,Nice! The rear tire still looks good.,
tiresBackFail,39,,Hala! Mukhang deformed o pudpod na ang rear tire mo. Ipapalit mo na ito.,,Oh no! Your rear tire looks worn out or deformed. Have it replaced.,
selfInitialPrompt,40,S,Maghanda ng sarili gamit ang angkop na kasuotan.,,Get yourself readied with the proper riding gear.,
selfPass,41,,Ayos! Mukhang akma ang gamit mong helmet at kasuotan. Pwede ka nang magmaneho. Ingat!,,Nice! Your helmet and gear are all up to standards! You're now ready to drive. Stay safe!,
selfFail,42,,Hala! Isa o higit pa sa iyong kasuotan ay hindi angkop! Siguraduhin na ang iyong helmet ay ICC-certified at ang iyong suot sa paa ay close-footed. Mas maganda rin kung gagamit ka ng riding gears gaya ng pads sa siko at tuhod para sa extrang proteksyon.,,Oh no! There are one or more of your gear that isn't up to standards. Make sure your helmet is ICC-certified and your footwear is close-footed. Inclusion of riding gear like elbow and knee pads are a plus for extra protection.,
